"stdDay","createDt","deathCnt","defCnt","incDec","isolClearCnt","localOccCnt","overFlowCnt","qurRate","gubun","gubunEn","seq"
"2022년 02월 12일 00시","2022-02-12",7045,1294205,54941,770673,54828,113,"2506","합계","Total",15058
"2022년 02월 11일 00시","2022-02-11",7012,1239287,53926,754694,53797,129,"2400","합계","Total",15039
"2022년 02월 10일 00시","2022-02-10",6963,1185361,54122,735348,54034,88,"2295","합계","Total",15020
"2022년 02월 09일 00시","2022-02-09",6943,1131239,49567,719627,49402,165,"2191","합계","Total",15001
"2022년 02월 08일 00시","2022-02-08",6922,1081681,36719,675059,36619,100,"2095","합계","Total",14982
"2022년 02월 07일 00시","2022-02-07",6886,1044963,35286,661103,35131,155,"2024","합계","Total",14963
"2022년 02월 06일 00시","2022-02-06",6873,1009688,38691,654621,38502,189,"1955","합계","Total",14906
"2022년 02월 05일 00시","2022-02-05",6858,971018,36362,648795,36162,200,"1874","합계","Total",14887
"2022년 02월 04일 00시","2022-02-04",6836,934656,27443,642045,27283,160,"1810","합계","Total",14868
"2022년 02월 03일 00시","2022-02-03",6812,907214,22907,637160,22773,134,"1757","합계","Total",14849
"2022년 02월 02일 00시","2022-02-02",6787,884310,20270,633060,20111,159,"1712","합계","Total",14830
"2022년 02월 01일 00시","2022-02-01",6772,864042,18343,629487,18123,220,"1673","합계","Total",14811
"2022년 01월 31일 00시","2022-01-31",6755,845709,17085,624758,16850,235,"1638","합계","Total",14792
"2022년 01월 30일 00시","2022-01-30",6732,828637,17532,621972,17303,229,"1605","합계","Total",14773
"2022년 01월 29일 00시","2022-01-29",6712,811122,17542,618561,17349,193,"1571","합계","Total",14754
"2022년 01월 28일 00시","2022-01-28",6678,793582,16096,614712,15894,202,"1537","합계","Total",14735
"2022년 01월 27일 00시","2022-01-27",6654,777497,14518,610740,14301,217,"1506","합계","Total",14716
"2022년 01월 26일 00시","2022-01-26",6620,762983,13012,607279,12743,269,"1478","합계","Total",14697
"2022년 01월 25일 00시","2022-01-25",6588,749979,8571,604266,8356,215,"1452","합계","Total",14678
"2022년 01월 24일 00시","2022-01-24",6565,741413,7513,602123,7159,354,"1436","합계","Total",14659
"2022년 01월 23일 00시","2022-01-23",6540,733902,7630,600251,7343,287,"1416","합계","Total",14640
"2022년 01월 22일 00시","2022-01-22",6529,726274,7009,595645,6729,280,"1401","합계","Total",14621
"2022년 01월 21일 00시","2022-01-21",6501,719269,6769,594023,6482,287,"1393","합계","Total",14602
"2022년 01월 20일 00시","2022-01-20",6480,712503,6603,589768,6357,246,"1380","합계","Total",14583
"2022년 01월 19일 00시","2022-01-19",6452,705902,5805,588531,5431,374,"1367","합계","Total",14564
"2022년 01월 18일 00시","2022-01-18",6378,700102,4072,585673,3763,309,"1356","합계","Total",14545
"2022년 01월 17일 00시","2022-01-17",6333,696032,3859,584537,3551,308,"1348","합계","Total",14526
"2022년 01월 16일 00시","2022-01-16",6310,692174,4194,582667,3813,381,"1340","합계","Total",14507
"2022년 01월 15일 00시","2022-01-15",6281,687984,4423,580664,4077,346,"1332","합계","Total",14488
"2022년 01월 14일 00시","2022-01-14",6259,683566,4542,576918,4133,409,"1324","합계","Total",14469
"2022년 01월 13일 00시","2022-01-13",6210,679030,4167,575763,3776,391,"1315","합계","Total",14450
"2022년 01월 12일 00시","2022-01-12",6166,674868,4388,571419,4007,381,"1307","합계","Total",14431
"2022년 01월 11일 00시","2022-01-11",6114,670483,3097,569760,2813,284,"1298","합계","Total",14412
"2022년 01월 10일 00시","2022-01-10",6071,667390,3007,566508,2768,239,"1292","합계","Total",14393
"2022년 01월 09일 00시","2022-01-09",6037,664391,3376,564320,3140,236,"1287","합계","Total",14374
"2022년 01월 08일 00시","2022-01-08",5986,661015,3510,561308,3300,210,"1280","합계","Total",14355
"2022년 01월 07일 00시","2022-01-07",5932,657508,3717,549488,3529,188,"1273","합계","Total",14336
"2022년 01월 06일 00시","2022-01-06",5887,653792,4126,545464,3931,195,"1266","합계","Total",14317
"2022년 01월 05일 00시","2022-01-05",5838,649669,4444,541994,4233,211,"1258","합계","Total",14298
"2022년 01월 04일 00시","2022-01-04",5781,645226,3024,537043,2889,135,"1249","합계","Total",14279
"2022년 01월 03일 00시","2022-01-03",5730,642207,3129,524883,2993,136,"1239","합계","Total",14260
"2022년 01월 02일 00시","2022-01-02",5694,639083,3833,520962,3683,150,"1233","합계","Total",14241
"2022년 01월 01일 00시","2022-01-01",5625,635253,4416,517909,4310,106,"1226","합계","Total",14222
"2021년 12월 31일 00시","2021-12-31",5563,630838,4875,513978,4758,117,"1217","합계","Total",14203
"2021년 12월 30일 00시","2021-12-30",5455,625967,5037,509957,4930,107,"1208","합계","Total",14184
"2021년 12월 29일 00시","2021-12-29",5382,620938,5409,505470,5283,126,"1198","합계","Total",14165
