"createDt","stdDay","deathCnt","defCnt","incDec","isolClearCnt","localOccCnt","overFlowCnt","qurRate","gubun","gubunEn","seq","accumulatedFirstCnt","accumulatedSecondCnt","accumulatedThirdCnt","firstCnt","id","secondCnt","sido","thirdCnt","totalFirstCnt","totalSecondCnt","totalThirdCnt"
"2022-02-12","2022년 02월 12일 00시",7045,1294205,54941,770673,54828,113,"2506","합계","Total",15058,44717281,44187867,28945086,8153,6091,19226,"전국",299859,44725434,44207093,29244945
"2022-02-11","2022년 02월 11일 00시",7012,1239287,53926,754694,53797,129,"2400","합계","Total",15039,44709471,44172060,28738736,5857,6073,13654,"전국",201735,44715328,44185714,28940471
"2022-02-10","2022년 02월 10일 00시",6963,1185361,54122,735348,54034,88,"2295","합계","Total",15020,44702813,44157689,28591187,5118,6055,12700,"전국",144416,44707931,44170389,28735603
"2022-02-09","2022년 02월 09일 00시",6943,1131239,49567,719627,49402,165,"2191","합계","Total",15001,44695583,44140144,28426995,5747,6037,15872,"전국",160841,44701330,44156016,28587836
"2022-02-08","2022년 02월 08일 00시",6922,1081681,36719,675059,36619,100,"2095","합계","Total",14982,44685645,44116017,28179462,8209,6019,22280,"전국",245413,44693854,44138297,28424875
"2022-02-07","2022년 02월 07일 00시",6886,1044963,35286,661103,35131,155,"2024","합계","Total",14963,44682004,44111790,28165353,453,6001,923,"전국",11875,44682457,44112713,28177228
"2022-02-06","2022년 02월 06일 00시",6873,1009688,38691,654621,38502,189,"1955","합계","Total",14906,44674704,44093746,27961180,7282,5983,18022,"전국",204118,44681986,44111768,28165298
"2022-02-05","2022년 02월 05일 00시",6858,971018,36362,648795,36162,200,"1874","합계","Total",14887,44662073,44058071,27601945,12250,5965,34803,"전국",350471,44674323,44092874,27952416
"2022-02-04","2022년 02월 04일 00시",6836,934656,27443,642045,27283,160,"1810","합계","Total",14868,44646116,44001773,27271785,12217,5947,51835,"전국",323149,44658333,44053608,27594934
"2022-02-03","2022년 02월 03일 00시",6812,907214,22907,637160,22773,134,"1757","합계","Total",14849,44641252,43996436,27257075,415,5929,693,"전국",10609,44641667,43997129,27267684
"2022-02-02","2022년 02월 02일 00시",6787,884310,20270,633060,20111,159,"1712","합계","Total",14830,44641155,43996254,27254310,80,5911,155,"전국",2439,44641235,43996409,27256749
"2022-02-01","2022년 02월 01일 00시",6772,864042,18343,629487,18123,220,"1673","합계","Total",14811,44640551,43995292,27235269,591,5893,949,"전국",18987,44641142,43996241,27254256
"2022-01-31","2022년 01월 31일 00시",6755,845709,17085,624758,16850,235,"1638","합계","Total",14792,44639820,43993836,27210434,611,5875,1292,"전국",23358,44640431,43995128,27233792
"2022-01-30","2022년 01월 30일 00시",6732,828637,17532,621972,17303,229,"1605","합계","Total",14773,44631656,43971362,26870276,8132,5857,22432,"전국",339919,44639788,43993794,27210195
"2022-01-29","2022년 01월 29일 00시",6712,811122,17542,618561,17349,193,"1571","합계","Total",14754,44618225,43934192,26365130,13050,5839,36227,"전국",493084,44631275,43970419,26858214
"2022-01-28","2022년 01월 28일 00시",6678,793582,16096,614712,15894,202,"1537","합계","Total",14735,44606876,43906849,26048511,9020,5821,24645,"전국",310711,44615896,43931494,26359222
"2022-01-27","2022년 01월 27일 00시",6654,777497,14518,610740,14301,217,"1506","합계","Total",14716,44596652,43880525,25791626,8393,5803,24107,"전국",251732,44605045,43904632,26043358
"2022-01-26","2022년 01월 26일 00시",6620,762983,13012,607279,12743,269,"1478","합계","Total",14697,44585873,43849560,25546791,9046,5785,28855,"전국",240502,44594919,43878415,25787293
"2022-01-25","2022년 01월 25일 00시",6588,749979,8571,604266,8356,215,"1452","합계","Total",14678,44572526,43807070,25248140,11513,5767,40098,"전국",294712,44584039,43847168,25542852
"2022-01-24","2022년 01월 24일 00시",6565,741413,7513,602123,7159,354,"1436","합계","Total",14659,44568744,43801866,25232724,555,5749,1819,"전국",13181,44569299,43803685,25245905
"2022-01-23","2022년 01월 23일 00시",6540,733902,7630,600251,7343,287,"1416","합계","Total",14640,44559381,43783899,24974591,9349,5731,17952,"전국",258013,44568730,43801851,25232604
"2022-01-22","2022년 01월 22일 00시",6529,726274,7009,595645,6729,280,"1401","합계","Total",14621,44544190,43725097,24505409,14999,5713,57579,"전국",460192,44559189,43782676,24965601
"2022-01-21","2022년 01월 21일 00시",6501,719269,6769,594023,6482,287,"1393","합계","Total",14602,44532026,43678627,24222950,10273,5695,43941,"전국",277176,44542299,43722568,24500126
"2022-01-20","2022년 01월 20일 00시",6480,712503,6603,589768,6357,246,"1380","합계","Total",14583,44520545,43632093,24006560,9980,5677,44538,"전국",212471,44530525,43676631,24219031
"2022-01-19","2022년 01월 19일 00시",6452,705902,5805,588531,5431,374,"1367","합계","Total",14564,44506949,43584079,23743311,12092,5659,46371,"전국",261355,44519041,43630450,24004666
"2022-01-18","2022년 01월 18일 00시",6378,700102,4072,585673,3763,309,"1356","합계","Total",14545,44489285,43511154,23356257,15991,5641,70974,"전국",384948,44505276,43582128,23741205
"2022-01-17","2022년 01월 17일 00시",6333,696032,3859,584537,3551,308,"1348","합계","Total",14526,44484829,43504046,23337136,764,5623,3388,"전국",16867,44485593,43507434,23354003
"2022-01-16","2022년 01월 16일 00시",6310,692174,4194,582667,3813,381,"1340","합계","Total",14507,44471712,43474764,23031231,13094,5605,29262,"전국",305847,44484806,43504026,23337078
"2022-01-15","2022년 01월 15일 00시",6281,687984,4423,580664,4077,346,"1332","합계","Total",14488,44449259,43383941,22451319,21966,5587,88347,"전국",564635,44471225,43472288,23015954
"2022-01-14","2022년 01월 14일 00시",6259,683566,4542,576918,4133,409,"1324","합계","Total",14469,44431291,43305648,22107009,15881,5569,75964,"전국",335121,44447172,43381612,22442130
"2022-01-13","2022년 01월 13일 00시",6210,679030,4167,575763,3776,391,"1315","합계","Total",14450,44413241,43222788,21822604,16225,5551,80570,"전국",279243,44429466,43303358,22101847
"2022-01-12","2022년 01월 12일 00시",6166,674868,4388,571419,4007,381,"1307","합계","Total",14431,44391132,43147364,21478958,19894,5533,72324,"전국",336295,44411026,43219688,21815253
"2022-01-11","2022년 01월 11일 00시",6114,670483,3097,569760,2813,284,"1298","합계","Total",14412,44364107,43035454,21034417,24830,5515,109187,"전국",438062,44388937,43144641,21472479
"2022-01-10","2022년 01월 10일 00시",6071,667390,3007,566508,2768,239,"1292","합계","Total",14393,44358477,43025986,21016200,1029,5497,4464,"전국",15281,44359506,43030450,21031481
"2022-01-09","2022년 01월 09일 00시",6037,664391,3376,564320,3140,236,"1287","합계","Total",14374,44342202,42955341,20669507,16290,5479,70645,"전국",346590,44358492,43025986,21016097
"2022-01-08","2022년 01월 08일 00시",5986,661015,3510,561308,3300,210,"1280","합계","Total",14355,44316407,42848328,20071116,25531,5461,105043,"전국",580781,44341938,42953371,20651897
