"accumulatedFirstCnt","accumulatedSecondCnt","accumulatedThirdCnt","baseDate","firstCnt","id","secondCnt","sido","thirdCnt","totalFirstCnt","totalSecondCnt","totalThirdCnt"
44799668,44300451,30457447,"2022-02-21",305,6253,520,"전국",7253,44799973,44300971,30464700
44793441,44290944,30321882,"2022-02-20",6210,6235,9489,"전국",135404,44799651,44300433,30457286
44781818,44275601,30073431,"2022-02-19",11230,6217,14884,"전국",241964,44793048,44290485,30315395
44770186,44263131,29902488,"2022-02-18",8968,6199,9818,"전국",165994,44779154,44272949,30068482
44759063,44251678,29772287,"2022-02-17",9073,6181,9397,"전국",126490,44768136,44261075,29898777
44747612,44239362,29631914,"2022-02-16",9603,6163,10520,"전국",137278,44757215,44249882,29769192
44735534,44224116,29436831,"2022-02-15",10247,6145,13434,"전국",191303,44745781,44237550,29628134
44731422,44219791,29421672,"2022-02-14",331,6127,536,"전국",8100,44731753,44220327,29429772
44725665,44207604,29252468,"2022-02-13",5741,6109,12160,"전국",168995,44731406,44219764,29421463
44717281,44187867,28945086,"2022-02-12",8153,6091,19226,"전국",299859,44725434,44207093,29244945
44709471,44172060,28738736,"2022-02-11",5857,6073,13654,"전국",201735,44715328,44185714,28940471
44702813,44157689,28591187,"2022-02-10",5118,6055,12700,"전국",144416,44707931,44170389,28735603
44695583,44140144,28426995,"2022-02-09",5747,6037,15872,"전국",160841,44701330,44156016,28587836
44685645,44116017,28179462,"2022-02-08",8209,6019,22280,"전국",245413,44693854,44138297,28424875
44682004,44111790,28165353,"2022-02-07",453,6001,923,"전국",11875,44682457,44112713,28177228
44674704,44093746,27961180,"2022-02-06",7282,5983,18022,"전국",204118,44681986,44111768,28165298
44662073,44058071,27601945,"2022-02-05",12250,5965,34803,"전국",350471,44674323,44092874,27952416
44646116,44001773,27271785,"2022-02-04",12217,5947,51835,"전국",323149,44658333,44053608,27594934
44641252,43996436,27257075,"2022-02-03",415,5929,693,"전국",10609,44641667,43997129,27267684
44641155,43996254,27254310,"2022-02-02",80,5911,155,"전국",2439,44641235,43996409,27256749
44640551,43995292,27235269,"2022-02-01",591,5893,949,"전국",18987,44641142,43996241,27254256
44639820,43993836,27210434,"2022-01-31",611,5875,1292,"전국",23358,44640431,43995128,27233792
