"areaNmEn","stdDay","createDt","natDeathCnt","natDeathRate","natDefCnt","nationNmEn","nationNm","seq"
"Others","2022년 02월 05일 09시",2022-02-05,14313,"0.7432780154",1925659,"Others","기타지역 영토",143409
"Africa","2022년 02월 05일 09시",2022-02-05,694,"2.1514043028",32258,"Lesotho","레소토",143408
"Africa","2022년 02월 05일 09시",2022-02-05,160,"2.0429009193",7832,"Comoros","코모로",143407
"Africa","2022년 02월 05일 09시",2022-02-05,70,"1.1858377096",5903,"Sao Tome and Principe","상투메프린시페",143406
"Africa","2022년 02월 05일 09시",2022-02-05,137,"0.8145065398",16820,"South Sudan","남수단",143405
"Africa","2022년 02월 05일 09시",2022-02-05,2564,"3.0295869174",84632,"Malawi","말라위",143404
"Africa","2022년 02월 05일 09시",2022-02-05,125,"1.6397743670",7623,"Sierra Leone","시에라리온",143403
"Africa","2022년 02월 05일 09시",2022-02-05,15,"0.0399339758",37562,"Brundi","브룬디",143402
"Africa","2022년 02월 05일 09시",2022-02-05,2581,"1.0200129625",253036,"Botswana","보츠와나",143401
"Africa","2022년 02월 05일 09시",2022-02-05,715,"2.3752574579",30102,"Mali","말리",143400
"Africa","2022년 02월 05일 09시",2022-02-05,156,"2.0283448186",7691,"Guinea Bissau","기니비사우",143399
"Africa","2022년 02월 05일 09시",2022-02-05,2180,"0.9730274991",224043,"Mozambique","모잠비크",143398
"Africa","2022년 02월 05일 09시",2022-02-05,3545,"2.1881770540",162007,"Uganda","우간다",143397
"Africa","2022년 02월 05일 09시",2022-02-05,99,"1.0334029227",9580,"Eritrea","에리트레아",143396
"Africa","2022년 02월 05일 09시",2022-02-05,1895,"1.9284195101",98267,"Angola","앙골라",143395
"Africa","2022년 02월 05일 09시",2022-02-05,1274,"2.1477098400",59319,"Madagascar","마다가스카르",143394
"Africa","2022년 02월 05일 09시",2022-02-05,1335,"5.1214178846",26067,"Somalia","소말리아",143393
"Africa","2022년 02월 05일 09시",2022-02-05,5352,"2.3268351216",230012,"Zimbabwe","짐바브웨",143392
"Africa","2022년 02월 05일 09시",2022-02-05,396,"0.7104540806",55739,"Cape Verde","카보베르데",143391
"Africa","2022년 02월 05일 09시",2022-02-05,301,"3.4773567467",8656,"Niger","니제르",143390
"Africa","2022년 02월 05일 09시",2022-02-05,190,"2.6547436076",7157,"Chad","차드",143389
"Africa","2022년 02월 05일 09시",2022-02-05,786,"1.1091981598",70862,"Mauritius","모리셔스",143388
"Africa","2022년 02월 05일 09시",2022-02-05,3920,"1.2829030262",305557,"Zambia","잠비아",143387
"Africa","2022년 02월 05일 09시",2022-02-05,364,"3.0683638202",11863,"Gambia","감비아",143386
"Africa","2022년 02월 05일 09시",2022-02-05,189,"1.2213247172",15475,"Djibouti","지부티",143385
"Africa","2022년 02월 05일 09시",2022-02-05,778,"2.3633049817",32920,"Tanzania","탄자니아",143384
"Africa","2022년 02월 05일 09시",2022-02-05,290,"3.9878987898",7272,"Liberia","라이베리아",143383
"Africa","2022년 02월 05일 09시",2022-02-05,163,"0.6151407653",26498,"Benin","베냉",143382
"Africa","2022년 02월 05일 09시",2022-02-05,146,"0.3896450493",37470,"Seychelles","세이쉘",143381
"Africa","2022년 02월 05일 09시",2022-02-05,1444,"1.1196315450",128971,"Rwanda","르완다",143380
"Africa","2022년 02월 05일 09시",2022-02-05,959,"1.6439530299",58335,"Mauritania","모리타니아",143379
"Africa","2022년 02월 05일 09시",2022-02-05,1376,"2.0101089782",68454,"Swatini","에스와티니",143378
"Africa","2022년 02월 05일 09시",2022-02-05,182,"1.1498610058",15828,"Equatorial Guinea","적도기니",143377
"Africa","2022년 02월 05일 09시",2022-02-05,371,"1.5650706601",23705,"Congo","콩고",143376
"Africa","2022년 02월 05일 09시",2022-02-05,110,"0.7844255865",14023,"Central African Republic","중앙아프리카공화국",143375
"Africa","2022년 02월 05일 09시",2022-02-05,3973,"2.5460767475",156044,"Namibia","나미비아",143374
"Africa","2022년 02월 05일 09시",2022-02-05,5593,"1.7387330533",321671,"Kenya","케냐",143373
"Africa","2022년 02월 05일 09시",2022-02-05,419,"1.1585467013",36166,"Guinea","기니",143372
"Africa","2022년 02월 05일 09시",2022-02-05,1395,"0.8889880193",156920,"Ghana","가나",143371
"Africa","2022년 02월 05일 09시",2022-02-05,301,"0.6384152031",47148,"Gabon","가봉",143370
"Africa","2022년 02월 05일 09시",2022-02-05,7346,"1.5770987908",465792,"Ethiopia","에티오피아",143369
"Africa","2022년 02월 05일 09시",2022-02-05,3588,"6.0943710296",58874,"Sudan","수단",143368
"Africa","2022년 02월 05일 09시",2022-02-05,785,"0.9717391035",80783,"Cote d&acute;Ivoire","코트디부아르",143367
"Africa","2022년 02월 05일 09시",2022-02-05,1278,"1.4945620395",85510,"DRCongo","DR콩고",143366
"Africa","2022년 02월 05일 09시",2022-02-05,371,"1.7966971766",20649,"Burkina Faso","부르키나파소",143365
"Africa","2022년 02월 05일 09시",2022-02-05,268,"0.7334829492",36538,"Togo","토고",143364
"Africa","2022년 02월 05일 09시",2022-02-05,95463,"2.6423483776",3612809,"Republic of South Africa","남아프리카공화국",143363
"Africa","2022년 02월 05일 09시",2022-02-05,1880,"1.6107198546",116718,"Cameroon","카메룬",143362
"Africa","2022년 02월 05일 09시",2022-02-05,1949,"2.2910005642",85072,"Senegal","세네갈",143361
"Africa","2022년 02월 05일 09시",2022-02-05,3136,"1.2375446419",253405,"Nigeria","나이지리아",143360
"Oceania","2022년 02월 05일 09시",2022-02-05,0,"0",33,"Samoa","사모아",143359
"Oceania","2022년 02월 05일 09시",2022-02-05,0,"0",7,"Vanuatu","바누아투",143358
"Oceania","2022년 02월 05일 09시",2022-02-05,21,"0.8909630886",2357,"Solomon Islands","솔로몬제도",143357
"Oceania","2022년 02월 05일 09시",2022-02-05,0,"0",4,"Marshall Islands","마셜제도",143356
"Oceania","2022년 02월 05일 09시",2022-02-05,597,"1.5966836052",37390,"Papua New Guinea","파푸아뉴기니",143355
"Oceania","2022년 02월 05일 09시",2022-02-05,809,"1.2811376629",63147,"Fiji","피지",143354
"Oceania","2022년 02월 05일 09시",2022-02-05,53,"0.3135909117",16901,"New Zealand","뉴질랜드",143353
"Oceania","2022년 02월 05일 09시",2022-02-05,3989,"0.1741286474",2290835,"Australia","호주",143352
"Europe","2022년 02월 05일 09시",2022-02-05,334039,"2.6824484361",12452765,"Russia","러시아",143351
"Europe","2022년 02월 05일 09시",2022-02-05,3022,"1.4212615459",212628,"Kosovo","코소보",143350
"Europe","2022년 02월 05일 09시",2022-02-05,2582,"1.1636081768",221896,"Montegro","몬테네그로",143349
"Europe","2022년 02월 05일 09시",2022-02-05,88064,"0.7375665463",11939804,"Turkey","터키",143348
"Europe","2022년 02월 05일 09시",2022-02-05,736,"0.2767489518",265945,"Cyprus","사이프러스",143347
"Europe","2022년 02월 05일 09시",2022-02-05,3362,"1.2869392129",261240,"Albania","알바니아",143346
"Europe","2022년 02월 05일 09시",2022-02-05,10734,"2.3319219564",460307,"Moldova","몰도바",143345
"Europe","2022년 02월 05일 09시",2022-02-05,559,"0.8168931755",68430,"Malta","몰타",143344
"Europe","2022년 02월 05일 09시",2022-02-05,33588,"3.4259416035",980402,"Bulgaria","불가리아",143343
"Europe","2022년 02월 05일 09시",2022-02-05,17921,"1.6563933492",1081929,"Slovakia","슬로바키아",143342
"Europe","2022년 02월 05일 09시",2022-02-05,13807,"0.7978683444",1730486,"Serbia","세르비아",143341
"Europe","2022년 02월 05일 09시",2022-02-05,70,"0.7357578305",9514,"Liechtenstein","리히텐슈타인",143340
"Europe","2022년 02월 05일 09시",2022-02-05,6390,"0.8376592732",762840,"Slovenia","슬로베니아",143339
